06-Aug-2020 (22:32:45): Epoch: [0][0/468]	Time 1.243 (1.243)	Data 0.099 (0.099)	Loss 2.3465 (2.3465)	Acc@1 6.250 (6.250) Acc@5 48.438 (48.438)	
06-Aug-2020 (22:32:46): Epoch: [0][10/468]	Time 0.036 (0.146)	Data 0.001 (0.011)	Loss 2.0347 (2.1860)	Acc@1 25.781 (18.892) Acc@5 73.438 (64.560)	
06-Aug-2020 (22:32:46): Epoch: [0][20/468]	Time 0.025 (0.093)	Data 0.001 (0.007)	Loss 1.9271 (2.0938)	Acc@1 29.688 (22.842) Acc@5 84.375 (70.982)	
06-Aug-2020 (22:32:46): Epoch: [0][30/468]	Time 0.038 (0.072)	Data 0.001 (0.005)	Loss 1.9224 (2.0375)	Acc@1 33.594 (25.328) Acc@5 75.000 (74.093)	
06-Aug-2020 (22:32:47): Epoch: [0][40/468]	Time 0.038 (0.064)	Data 0.001 (0.004)	Loss 1.9000 (1.9901)	Acc@1 29.688 (27.515) Acc@5 77.344 (76.105)	
06-Aug-2020 (22:32:47): Epoch: [0][50/468]	Time 0.038 (0.059)	Data 0.001 (0.004)	Loss 1.7946 (1.9549)	Acc@1 35.938 (29.121) Acc@5 85.938 (77.574)	
06-Aug-2020 (22:32:47): Epoch: [0][60/468]	Time 0.038 (0.056)	Data 0.001 (0.003)	Loss 1.7278 (1.9249)	Acc@1 39.062 (30.469) Acc@5 85.938 (78.855)	
06-Aug-2020 (22:32:48): Epoch: [0][70/468]	Time 0.038 (0.053)	Data 0.002 (0.003)	Loss 1.6317 (1.8988)	Acc@1 43.750 (31.580) Acc@5 89.062 (80.139)	
06-Aug-2020 (22:32:48): Epoch: [0][80/468]	Time 0.038 (0.051)	Data 0.002 (0.003)	Loss 1.7426 (1.8735)	Acc@1 37.500 (32.456) Acc@5 87.500 (81.221)	
06-Aug-2020 (22:32:49): Epoch: [0][90/468]	Time 0.038 (0.050)	Data 0.002 (0.003)	Loss 1.6519 (1.8542)	Acc@1 44.531 (33.328) Acc@5 88.281 (81.928)	
06-Aug-2020 (22:32:49): Epoch: [0][100/468]	Time 0.038 (0.049)	Data 0.002 (0.003)	Loss 1.6465 (1.8370)	Acc@1 40.625 (34.011) Acc@5 85.156 (82.480)	
06-Aug-2020 (22:32:49): Epoch: [0][110/468]	Time 0.038 (0.048)	Data 0.002 (0.003)	Loss 1.5981 (1.8233)	Acc@1 45.312 (34.727) Acc@5 89.062 (82.883)	
06-Aug-2020 (22:32:50): Epoch: [0][120/468]	Time 0.038 (0.047)	Data 0.002 (0.003)	Loss 1.8022 (1.8122)	Acc@1 34.375 (35.111) Acc@5 86.719 (83.271)	
06-Aug-2020 (22:32:50): Epoch: [0][130/468]	Time 0.038 (0.046)	Data 0.002 (0.003)	Loss 1.6018 (1.7995)	Acc@1 46.875 (35.532) Acc@5 90.625 (83.665)	
06-Aug-2020 (22:32:51): Epoch: [0][140/468]	Time 0.038 (0.046)	Data 0.001 (0.003)	Loss 1.6190 (1.7893)	Acc@1 42.969 (35.982) Acc@5 87.500 (83.926)	
06-Aug-2020 (22:32:51): Epoch: [0][150/468]	Time 0.038 (0.045)	Data 0.001 (0.003)	Loss 1.6409 (1.7834)	Acc@1 41.406 (36.227) Acc@5 92.188 (84.059)	
06-Aug-2020 (22:32:51): Epoch: [0][160/468]	Time 0.038 (0.045)	Data 0.001 (0.003)	Loss 1.6790 (1.7738)	Acc@1 36.719 (36.593) Acc@5 85.938 (84.331)	
06-Aug-2020 (22:32:52): Epoch: [0][170/468]	Time 0.038 (0.044)	Data 0.002 (0.003)	Loss 1.5001 (1.7623)	Acc@1 46.875 (37.011) Acc@5 89.844 (84.649)	
06-Aug-2020 (22:32:52): Epoch: [0][180/468]	Time 0.038 (0.044)	Data 0.001 (0.002)	Loss 1.7698 (1.7569)	Acc@1 35.156 (37.232) Acc@5 85.938 (84.776)	
06-Aug-2020 (22:32:52): Epoch: [0][190/468]	Time 0.038 (0.044)	Data 0.002 (0.002)	Loss 1.6367 (1.7530)	Acc@1 43.750 (37.381) Acc@5 89.844 (84.915)	
06-Aug-2020 (22:32:53): Epoch: [0][200/468]	Time 0.038 (0.043)	Data 0.002 (0.002)	Loss 1.6985 (1.7480)	Acc@1 35.938 (37.446) Acc@5 85.938 (85.113)	
06-Aug-2020 (22:32:53): Epoch: [0][210/468]	Time 0.025 (0.043)	Data 0.002 (0.002)	Loss 1.6429 (1.7425)	Acc@1 41.406 (37.685) Acc@5 89.062 (85.278)	
06-Aug-2020 (22:32:54): Epoch: [0][220/468]	Time 0.036 (0.043)	Data 0.001 (0.002)	Loss 1.8692 (1.7384)	Acc@1 29.688 (37.836) Acc@5 85.156 (85.333)	
06-Aug-2020 (22:32:54): Epoch: [0][230/468]	Time 0.036 (0.042)	Data 0.002 (0.002)	Loss 1.6098 (1.7348)	Acc@1 46.094 (38.014) Acc@5 86.719 (85.427)	
06-Aug-2020 (22:32:54): Epoch: [0][240/468]	Time 0.036 (0.042)	Data 0.002 (0.002)	Loss 1.4697 (1.7301)	Acc@1 51.562 (38.233) Acc@5 94.531 (85.565)	
06-Aug-2020 (22:32:55): Epoch: [0][250/468]	Time 0.036 (0.042)	Data 0.002 (0.002)	Loss 1.5671 (1.7264)	Acc@1 39.062 (38.362) Acc@5 93.750 (85.670)	
06-Aug-2020 (22:32:55): Epoch: [0][260/468]	Time 0.036 (0.042)	Data 0.002 (0.002)	Loss 1.4352 (1.7216)	Acc@1 47.656 (38.536) Acc@5 95.312 (85.812)	
06-Aug-2020 (22:32:55): Epoch: [0][270/468]	Time 0.034 (0.041)	Data 0.002 (0.002)	Loss 1.6604 (1.7182)	Acc@1 36.719 (38.587) Acc@5 90.625 (85.906)	
06-Aug-2020 (22:32:56): Epoch: [0][280/468]	Time 0.037 (0.041)	Data 0.001 (0.002)	Loss 1.5832 (1.7152)	Acc@1 43.750 (38.645) Acc@5 85.938 (85.946)	
06-Aug-2020 (22:32:56): Epoch: [0][290/468]	Time 0.036 (0.041)	Data 0.002 (0.002)	Loss 1.5017 (1.7115)	Acc@1 49.219 (38.770) Acc@5 93.750 (86.074)	
06-Aug-2020 (22:32:56): Epoch: [0][300/468]	Time 0.037 (0.041)	Data 0.002 (0.002)	Loss 1.5799 (1.7083)	Acc@1 42.969 (38.907) Acc@5 94.531 (86.166)	
06-Aug-2020 (22:32:57): Epoch: [0][310/468]	Time 0.026 (0.041)	Data 0.002 (0.002)	Loss 1.5497 (1.7046)	Acc@1 38.281 (39.037) Acc@5 88.281 (86.259)	
06-Aug-2020 (22:32:57): Epoch: [0][320/468]	Time 0.039 (0.041)	Data 0.001 (0.002)	Loss 1.6116 (1.7009)	Acc@1 40.625 (39.131) Acc@5 92.188 (86.317)	
06-Aug-2020 (22:32:58): Epoch: [0][330/468]	Time 0.040 (0.041)	Data 0.002 (0.002)	Loss 1.7227 (1.6985)	Acc@1 37.500 (39.199) Acc@5 85.156 (86.353)	
06-Aug-2020 (22:32:58): Epoch: [0][340/468]	Time 0.039 (0.040)	Data 0.002 (0.002)	Loss 1.5903 (1.6969)	Acc@1 43.750 (39.250) Acc@5 92.188 (86.398)	
06-Aug-2020 (22:32:58): Epoch: [0][350/468]	Time 0.039 (0.040)	Data 0.001 (0.002)	Loss 1.4949 (1.6937)	Acc@1 42.188 (39.361) Acc@5 92.188 (86.478)	
06-Aug-2020 (22:32:59): Epoch: [0][360/468]	Time 0.039 (0.040)	Data 0.001 (0.002)	Loss 1.4867 (1.6906)	Acc@1 45.312 (39.476) Acc@5 89.844 (86.530)	
06-Aug-2020 (22:32:59): Epoch: [0][370/468]	Time 0.039 (0.040)	Data 0.001 (0.002)	Loss 1.5381 (1.6888)	Acc@1 44.531 (39.549) Acc@5 87.500 (86.576)	
06-Aug-2020 (22:32:59): Epoch: [0][380/468]	Time 0.039 (0.040)	Data 0.001 (0.002)	Loss 1.5458 (1.6861)	Acc@1 45.312 (39.635) Acc@5 89.844 (86.637)	
